run,copy_c_to_q_physical,reverse_q_to_c_physical,sum,valid_total,invalid_total,trials,valid_rate,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
q34_idea24_copy_2_2,2,2,17,181,19,200,0.905,14,6,0.42857142857142855,0.46011994804850503,0.7083662194159432
q34_idea24_copy_2_2,2,2,18,186,14,200,0.93,13,3,0.23076923076923078,0.3726297390883802,0.7692307692307693
q34_idea24_copy_2_2,2,2,19,178,22,200,0.89,12,7,0.5833333333333334,0.6590111784411063,0.5374531835205992
q34_idea24_copy_2_2,2,2,20,184,16,200,0.92,11,3,0.2727272727272727,0.3093320751833306,0.8073122529644269
q34_idea24_copy_2_2,2,2,21,181,19,200,0.905,10,4,0.4,0.41263183869340736,0.7171270718232045
q34_idea24_copy_2_2,2,2,22,187,13,200,0.935,9,2,0.2222222222222222,0.29693244009291825,0.7777777777777778
q34_idea24_copy_2_2,2,2,23,178,22,200,0.89,8,5,0.625,0.6498679296528159,0.5182584269662921
q34_idea24_copy_2_2,2,2,24,190,10,200,0.95,7,4,0.5714285714285714,0.6006114481154635,0.524812030075188
q34_idea24_copy_2_2,2,2,25,163,37,200,0.815,6,3,0.5,0.2012342875781677,0.7413087934560327
q34_idea24_copy_2_2,2,2,26,169,31,200,0.845,5,1,0.2,0.0,0.8
q34_idea24_copy_2_2,2,2,27,161,39,200,0.805,4,3,0.75,0.5205869092582407,0.47515527950310565
q34_idea24_copy_2_2,2,2,28,2,198,200,0.01,3,1,0.3333333333333333,0.0,0.6666666666666667
q34_idea24_copy_2_2,2,2,29,0,200,200,0.0,2,0,0.0,0.0,1.0
q34_idea24_copy_2_2,2,2,30,0,200,200,0.0,1,0,0.0,0.0,1.0
q34_idea24_copy_1_1,1,1,0,5,195,200,0.025,1,1,1.0,1.0,0.0
q34_idea24_copy_1_1,1,1,1,64,136,200,0.32,2,1,0.5,0.0,0.5
q34_idea24_copy_1_1,1,1,2,28,172,200,0.14,3,3,1.0,0.7794178205576752,0.2738095238095237
q34_idea24_copy_1_1,1,1,3,78,122,200,0.39,4,2,0.5,0.4961992501666111,0.5
q34_idea24_copy_1_1,1,1,4,113,87,200,0.565,5,5,1.0,0.8457149274493775,0.3433628318584071
q34_idea24_copy_1_1,1,1,5,152,48,200,0.76,6,3,0.5,0.6070087545776408,0.5
q34_idea24_copy_1_1,1,1,6,131,69,200,0.655,7,7,1.0,0.8265153534929239,0.3729552889858233
q34_idea24_copy_1_1,1,1,7,146,54,200,0.73,8,4,0.5,0.6625781348124259,0.5
q34_idea24_copy_1_1,1,1,8,114,86,200,0.57,9,8,0.8888888888888888,0.8276486398053658,0.347953216374269
q34_idea24_copy_1_1,1,1,9,149,51,200,0.745,10,5,0.5,0.6670934095493902,0.5
q34_idea24_copy_1_1,1,1,10,120,80,200,0.6,11,11,1.0,0.8080016457171326,0.403030303030303
q34_idea24_copy_1_1,1,1,11,137,63,200,0.685,12,6,0.5,0.6918499859014979,0.5103406326034063
q34_idea24_copy_1_1,1,1,12,125,75,200,0.625,13,12,0.9230769230769231,0.8622672812541398,0.35446153846153844
q34_idea24_copy_1_1,1,1,13,147,53,200,0.735,14,7,0.5,0.7216548601909505,0.5
q34_idea24_copy_1_1,1,1,14,127,73,200,0.635,15,15,1.0,0.8592514849879617,0.3716535433070866
q34_idea24_copy_1_1,1,1,15,131,69,200,0.655,16,8,0.5,0.734849880850284,0.5090648854961832
q34_idea24_copy_1_1,1,1,16,129,71,200,0.645,15,13,0.8666666666666667,0.8973858212786112,0.30077519379844964
q34_idea24_copy_1_1,1,1,17,155,45,200,0.775,14,7,0.5,0.6556556740993996,0.5391705069124424
q34_idea24_copy_1_1,1,1,18,132,68,200,0.66,13,13,1.0,0.9131859484223592,0.2744755244755245
q34_idea24_copy_1_1,1,1,19,139,61,200,0.695,12,6,0.5,0.6947786308318249,0.5
q34_idea24_copy_1_1,1,1,20,126,74,200,0.63,11,9,0.8181818181818182,0.7621397589352422,0.4292929292929293
q34_idea24_copy_1_1,1,1,21,142,58,200,0.71,10,5,0.5,0.5901476054297852,0.6084507042253521
q34_idea24_copy_1_1,1,1,22,124,76,200,0.62,9,9,1.0,0.8154468898909898,0.40860215053763443
q34_idea24_copy_1_1,1,1,23,125,75,200,0.625,8,4,0.5,0.6651606193927677,0.5
q34_idea24_copy_1_1,1,1,24,139,61,200,0.695,7,6,0.8571428571428571,0.8698229828653637,0.263103802672148
q34_idea24_copy_1_1,1,1,25,106,94,200,0.53,6,3,0.5,0.5810207537557628,0.5
q34_idea24_copy_1_1,1,1,26,123,77,200,0.615,5,5,1.0,0.8950635901432304,0.24552845528455286
q34_idea24_copy_1_1,1,1,27,74,126,200,0.37,4,2,0.5,0.49894565491784315,0.5
q34_idea24_copy_1_1,1,1,28,30,170,200,0.15,3,2,0.6666666666666666,0.6289054987282648,0.33333333333333337
q34_idea24_copy_1_1,1,1,29,14,186,200,0.07,2,1,0.5,0.0,0.5
q34_idea24_copy_1_1,1,1,30,12,188,200,0.06,1,1,1.0,1.0,0.0
q34_idea24_copy_1_4,1,4,0,6,194,200,0.03,1,1,1.0,1.0,0.0
q34_idea24_copy_1_4,1,4,1,6,194,200,0.03,2,1,0.5,0.0,0.5
q34_idea24_copy_1_4,1,4,2,67,133,200,0.335,3,3,1.0,0.9000287667733148,0.18905472636815918
q34_idea24_copy_1_4,1,4,3,100,100,200,0.5,4,4,1.0,0.9250862383541161,0.18
q34_idea24_copy_1_4,1,4,4,92,108,200,0.46,5,5,1.0,0.8886649534758418,0.25869565217391305
q34_idea24_copy_1_4,1,4,5,128,72,200,0.64,6,6,1.0,0.8781409280737871,0.3046875
q34_idea24_copy_1_4,1,4,6,126,74,200,0.63,7,7,1.0,0.9584939000458236,0.19047619047619047
q34_idea24_copy_1_4,1,4,7,145,55,200,0.725,8,8,1.0,0.9617719489592113,0.16896551724137931
q34_idea24_copy_1_4,1,4,8,128,72,200,0.64,9,9,1.0,0.9191728439601617,0.24913194444444445
q34_idea24_copy_1_4,1,4,9,139,61,200,0.695,10,8,0.8,0.7808787896657395,0.4201438848920863
q34_idea24_copy_1_4,1,4,10,137,63,200,0.685,11,11,1.0,0.9236953518569331,0.2534837425348374
q34_idea24_copy_1_4,1,4,11,134,66,200,0.67,12,12,1.0,0.9431704588268689,0.22512437810945274
q34_idea24_copy_1_4,1,4,12,142,58,200,0.71,13,13,1.0,0.8807254736247593,0.33315276273022754
q34_idea24_copy_1_4,1,4,13,140,60,200,0.7,14,14,1.0,0.8887331865881677,0.35
q34_idea24_copy_1_4,1,4,14,146,54,200,0.73,15,15,1.0,0.8996780598965749,0.30365296803652964
q34_idea24_copy_1_4,1,4,15,129,71,200,0.645,16,16,1.0,0.9469109278339944,0.23013565891472867
q34_idea24_copy_1_4,1,4,16,133,67,200,0.665,15,15,1.0,0.9696371786429612,0.15839598997493734
q34_idea24_copy_1_4,1,4,17,146,54,200,0.73,14,13,0.9285714285714286,0.90647747136002,0.26614481409001955
q34_idea24_copy_1_4,1,4,18,136,64,200,0.68,13,13,1.0,0.9162261235818705,0.2664027149321267
q34_idea24_copy_1_4,1,4,19,131,69,200,0.655,12,12,1.0,0.8610300659335834,0.3377862595419847
q34_idea24_copy_1_4,1,4,20,137,63,200,0.685,11,11,1.0,0.8929241883006164,0.3045786330457863
q34_idea24_copy_1_4,1,4,21,133,67,200,0.665,10,10,1.0,0.8437476034195335,0.36917293233082704
q34_idea24_copy_1_4,1,4,22,140,60,200,0.7,9,9,1.0,0.961496624450715,0.1873015873015873
q34_idea24_copy_1_4,1,4,23,122,78,200,0.61,8,8,1.0,0.945398587773747,0.20491803278688525
q34_idea24_copy_1_4,1,4,24,139,61,200,0.695,7,7,1.0,0.9732000480887105,0.1264131551901336
q34_idea24_copy_1_4,1,4,25,152,48,200,0.76,6,6,1.0,0.9313639012121624,0.22368421052631582
q34_idea24_copy_1_4,1,4,26,94,106,200,0.47,5,5,1.0,0.9132104504045613,0.2297872340425532
q34_idea24_copy_1_4,1,4,27,52,148,200,0.26,4,4,1.0,0.9351466105037401,0.19230769230769232
q34_idea24_copy_1_4,1,4,28,67,133,200,0.335,3,3,1.0,0.7903451090374579,0.2736318407960199
q34_idea24_copy_1_4,1,4,29,29,171,200,0.145,2,2,1.0,0.5787946246321198,0.3620689655172413
q34_idea24_copy_1_4,1,4,30,42,158,200,0.21,1,1,1.0,1.0,0.0
q34_idea24_copy_2_3,2,3,0,0,200,200,0.0,1,0,0.0,0.0,1.0
q34_idea24_copy_2_3,2,3,1,0,200,200,0.0,2,0,0.0,0.0,1.0
q34_idea24_copy_2_3,2,3,2,0,200,200,0.0,3,0,0.0,0.0,1.0
q34_idea24_copy_2_3,2,3,3,0,200,200,0.0,4,0,0.0,0.0,1.0
