run,pattern,sum,valid_total,invalid_total,trials,valid_rate,parallel,reverse,block_rnd,copy_rnd,scramble_rnd,blocks,copy_cycles,settle_cycles,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,0,88,912,1000,0.088,false,true,4,0,8,"40,40,40,40",2,160,1,1,1,1,0
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,1,88,912,1000,0.088,false,true,4,0,8,"40,40,40,40",2,160,2,1,0.5,0,0.5
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,2,88,912,1000,0.088,false,true,4,0,8,"40,40,40,40",2,160,3,1,0.3333333333333333,0,0.6666666666666667
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,3,465,535,1000,0.465,false,true,4,0,8,"40,40,40,40",2,160,4,4,1,0.9647831198817551,0.132258064516129
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,4,714,286,1000,0.714,false,true,4,0,8,"40,40,40,40",2,160,5,5,1,0.7929104242564832,0.3521008403361345
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,5,789,211,1000,0.789,false,true,4,0,8,"40,40,40,40",2,160,6,4,0.6666666666666666,0.6922886136409656,0.4467680608365019
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,6,787,213,1000,0.787,false,true,4,0,8,"40,40,40,40",2,160,7,5,0.7142857142857143,0.7044662786291398,0.41205300417498636
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,7,994,6,1000,0.994,false,true,4,0,8,"40,40,40,40",2,160,8,7,0.875,0.7080906833756767,0.40895372233400407
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,8,990,10,1000,0.99,false,true,4,0,8,"40,40,40,40",2,160,9,8,0.8888888888888888,0.7805248487013041,0.4161616161616162
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,9,989,11,1000,0.989,false,true,4,0,8,"40,40,40,40",2,160,10,6,0.6,0.7422406545733778,0.4422649140546006
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,10,986,14,1000,0.986,false,true,4,0,8,"40,40,40,40",2,160,11,6,0.5454545454545454,0.658930654631647,0.5339295592845289
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,11,993,7,1000,0.993,false,true,4,0,8,"40,40,40,40",2,160,12,9,0.75,0.720970750301564,0.40407854984894265
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,12,991,9,1000,0.991,false,true,4,0,8,"40,40,40,40",2,160,13,11,0.8461538461538461,0.7647131150567426,0.45897694636342473
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,13,990,10,1000,0.99,false,true,4,0,8,"40,40,40,40",2,160,14,9,0.6428571428571429,0.7314120202315126,0.4966810966810966
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,14,988,12,1000,0.988,false,true,4,0,8,"40,40,40,40",2,160,15,10,0.6666666666666666,0.7487736954779789,0.49777327935222676
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,15,997,3,1000,0.997,false,true,4,0,8,"40,40,40,40",2,160,16,14,0.875,0.7400677316466651,0.4855817452357071
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,16,993,7,1000,0.993,false,true,4,0,8,"40,40,40,40",2,160,15,13,0.8666666666666667,0.7984212018753925,0.41490433031218527
