session,run,direction,a,b,target,hits,trials,success_probability,top,top_count
baseline direct RCA,baseline_direct4,forward,0,0,0,93,100,0.93,0,93
baseline direct RCA,baseline_direct4,forward,0,1,1,91,100,0.91,1,91
baseline direct RCA,baseline_direct4,forward,0,2,2,89,100,0.89,2,89
baseline direct RCA,baseline_direct4,forward,0,3,3,87,100,0.87,3,87
baseline direct RCA,baseline_direct4,forward,0,4,4,86,100,0.86,4,86
baseline direct RCA,baseline_direct4,forward,0,5,5,91,100,0.91,5,91
baseline direct RCA,baseline_direct4,forward,0,6,6,90,100,0.9,6,90
baseline direct RCA,baseline_direct4,forward,0,7,7,88,100,0.88,7,88
baseline direct RCA,baseline_direct4,forward,0,8,8,94,100,0.94,8,94
baseline direct RCA,baseline_direct4,forward,0,9,9,94,100,0.94,9,94
baseline direct RCA,baseline_direct4,forward,0,10,10,87,100,0.87,10,87
baseline direct RCA,baseline_direct4,forward,0,11,11,84,100,0.84,11,84
baseline direct RCA,baseline_direct4,forward,0,12,12,93,100,0.93,12,93
baseline direct RCA,baseline_direct4,forward,0,13,13,89,100,0.89,13,89
baseline direct RCA,baseline_direct4,forward,0,14,14,87,100,0.87,14,87
baseline direct RCA,baseline_direct4,forward,0,15,15,88,100,0.88,15,88
baseline direct RCA,baseline_direct4,forward,1,0,1,90,100,0.9,1,90
baseline direct RCA,baseline_direct4,forward,1,1,2,91,100,0.91,2,91
baseline direct RCA,baseline_direct4,forward,1,2,3,79,100,0.79,3,79
baseline direct RCA,baseline_direct4,forward,1,3,4,92,100,0.92,4,92
baseline direct RCA,baseline_direct4,forward,1,4,5,94,100,0.94,5,94
baseline direct RCA,baseline_direct4,forward,1,5,6,78,100,0.78,6,78
baseline direct RCA,baseline_direct4,forward,1,6,7,95,100,0.95,7,95
baseline direct RCA,baseline_direct4,forward,1,7,8,75,100,0.75,8,75
baseline direct RCA,baseline_direct4,forward,1,8,9,93,100,0.93,9,93
baseline direct RCA,baseline_direct4,forward,1,9,10,88,100,0.88,10,88
baseline direct RCA,baseline_direct4,forward,1,10,11,92,100,0.92,11,92
baseline direct RCA,baseline_direct4,forward,1,11,12,76,100,0.76,12,76
baseline direct RCA,baseline_direct4,forward,1,12,13,90,100,0.9,13,90
baseline direct RCA,baseline_direct4,forward,1,13,14,73,100,0.73,14,73
baseline direct RCA,baseline_direct4,forward,1,14,15,94,100,0.94,15,94
baseline direct RCA,baseline_direct4,forward,1,15,16,50,100,0.5,16,50
baseline direct RCA,baseline_direct4,forward,2,0,2,91,100,0.91,2,91
baseline direct RCA,baseline_direct4,forward,2,1,3,91,100,0.91,3,91
baseline direct RCA,baseline_direct4,forward,2,2,4,89,100,0.89,4,89
baseline direct RCA,baseline_direct4,forward,2,3,5,84,100,0.84,5,84
baseline direct RCA,baseline_direct4,forward,2,4,6,90,100,0.9,6,90
baseline direct RCA,baseline_direct4,forward,2,5,7,72,100,0.72,7,72
baseline direct RCA,baseline_direct4,forward,2,6,8,91,100,0.91,8,91
baseline direct RCA,baseline_direct4,forward,2,7,9,95,100,0.95,9,95
baseline direct RCA,baseline_direct4,forward,2,8,10,89,100,0.89,10,89
baseline direct RCA,baseline_direct4,forward,2,9,11,80,100,0.8,11,80
baseline direct RCA,baseline_direct4,forward,2,10,12,88,100,0.88,12,88
baseline direct RCA,baseline_direct4,forward,2,11,13,88,100,0.88,13,88
baseline direct RCA,baseline_direct4,forward,2,12,14,90,100,0.9,14,90
baseline direct RCA,baseline_direct4,forward,2,13,15,90,100,0.9,15,90
baseline direct RCA,baseline_direct4,forward,2,14,16,88,100,0.88,16,88
baseline direct RCA,baseline_direct4,forward,2,15,17,78,100,0.78,17,78
baseline direct RCA,baseline_direct4,forward,3,0,3,89,100,0.89,3,89
baseline direct RCA,baseline_direct4,forward,3,1,4,96,100,0.96,4,96
baseline direct RCA,baseline_direct4,forward,3,2,5,86,100,0.86,5,86
baseline direct RCA,baseline_direct4,forward,3,3,6,94,100,0.94,6,94
baseline direct RCA,baseline_direct4,forward,3,4,7,88,100,0.88,7,88
baseline direct RCA,baseline_direct4,forward,3,5,8,73,100,0.73,8,73
baseline direct RCA,baseline_direct4,forward,3,6,9,84,100,0.84,9,84
baseline direct RCA,baseline_direct4,forward,3,7,10,84,100,0.84,10,84
baseline direct RCA,baseline_direct4,forward,3,8,11,84,100,0.84,11,84
baseline direct RCA,baseline_direct4,forward,3,9,12,82,100,0.82,12,82
baseline direct RCA,baseline_direct4,forward,3,10,13,79,100,0.79,13,79
baseline direct RCA,baseline_direct4,forward,3,11,14,96,100,0.96,14,96
baseline direct RCA,baseline_direct4,forward,3,12,15,78,100,0.78,15,78
baseline direct RCA,baseline_direct4,forward,3,13,16,84,100,0.84,16,84
baseline direct RCA,baseline_direct4,forward,3,14,17,78,100,0.78,17,78
baseline direct RCA,baseline_direct4,forward,3,15,18,83,100,0.83,18,83
baseline direct RCA,baseline_direct4,forward,4,0,4,84,100,0.84,4,84
baseline direct RCA,baseline_direct4,forward,4,1,5,97,100,0.97,5,97
baseline direct RCA,baseline_direct4,forward,4,2,6,95,100,0.95,6,95
baseline direct RCA,baseline_direct4,forward,4,3,7,91,100,0.91,7,91
baseline direct RCA,baseline_direct4,forward,4,4,8,90,100,0.9,8,90
baseline direct RCA,baseline_direct4,forward,4,5,9,91,100,0.91,9,91
baseline direct RCA,baseline_direct4,forward,4,6,10,80,100,0.8,10,80
baseline direct RCA,baseline_direct4,forward,4,7,11,88,100,0.88,11,88
baseline direct RCA,baseline_direct4,forward,4,8,12,87,100,0.87,12,87
baseline direct RCA,baseline_direct4,forward,4,9,13,77,100,0.77,13,77
baseline direct RCA,baseline_direct4,forward,4,10,14,86,100,0.86,14,86
baseline direct RCA,baseline_direct4,forward,4,11,15,84,100,0.84,15,84
baseline direct RCA,baseline_direct4,forward,4,12,16,89,100,0.89,16,89
baseline direct RCA,baseline_direct4,forward,4,13,17,92,100,0.92,17,92
baseline direct RCA,baseline_direct4,forward,4,14,18,85,100,0.85,18,85
baseline direct RCA,baseline_direct4,forward,4,15,19,92,100,0.92,19,92
baseline direct RCA,baseline_direct4,forward,5,0,5,87,100,0.87,5,87
baseline direct RCA,baseline_direct4,forward,5,1,6,80,100,0.8,6,80
baseline direct RCA,baseline_direct4,forward,5,2,7,81,100,0.81,7,81
baseline direct RCA,baseline_direct4,forward,5,3,8,75,100,0.75,8,75
baseline direct RCA,baseline_direct4,forward,5,4,9,87,100,0.87,9,87
baseline direct RCA,baseline_direct4,forward,5,5,10,78,100,0.78,10,78
baseline direct RCA,baseline_direct4,forward,5,6,11,90,100,0.9,11,90
baseline direct RCA,baseline_direct4,forward,5,7,12,78,100,0.78,12,78
baseline direct RCA,baseline_direct4,forward,5,8,13,84,100,0.84,13,84
baseline direct RCA,baseline_direct4,forward,5,9,14,94,100,0.94,14,94
baseline direct RCA,baseline_direct4,forward,5,10,15,92,100,0.92,15,92
baseline direct RCA,baseline_direct4,forward,5,11,16,72,100,0.72,16,72
baseline direct RCA,baseline_direct4,forward,5,12,17,90,100,0.9,17,90
baseline direct RCA,baseline_direct4,forward,5,13,18,85,100,0.85,18,85
baseline direct RCA,baseline_direct4,forward,5,14,19,81,100,0.81,19,81
baseline direct RCA,baseline_direct4,forward,5,15,20,69,100,0.69,20,69
baseline direct RCA,baseline_direct4,forward,6,0,6,86,100,0.86,6,86
baseline direct RCA,baseline_direct4,forward,6,1,7,72,100,0.72,7,72
baseline direct RCA,baseline_direct4,forward,6,2,8,86,100,0.86,8,86
baseline direct RCA,baseline_direct4,forward,6,3,9,67,100,0.67,9,67
baseline direct RCA,baseline_direct4,forward,6,4,10,90,100,0.9,10,90
baseline direct RCA,baseline_direct4,forward,6,5,11,92,100,0.92,11,92
baseline direct RCA,baseline_direct4,forward,6,6,12,91,100,0.91,12,91
baseline direct RCA,baseline_direct4,forward,6,7,13,85,100,0.85,13,85
baseline direct RCA,baseline_direct4,forward,6,8,14,78,100,0.78,14,78
baseline direct RCA,baseline_direct4,forward,6,9,15,83,100,0.83,15,83
baseline direct RCA,baseline_direct4,forward,6,10,16,89,100,0.89,16,89
baseline direct RCA,baseline_direct4,forward,6,11,17,86,100,0.86,17,86
baseline direct RCA,baseline_direct4,forward,6,12,18,89,100,0.89,18,89
baseline direct RCA,baseline_direct4,forward,6,13,19,83,100,0.83,19,83
baseline direct RCA,baseline_direct4,forward,6,14,20,88,100,0.88,20,88
baseline direct RCA,baseline_direct4,forward,6,15,21,84,100,0.84,21,84
baseline direct RCA,baseline_direct4,forward,7,0,7,81,100,0.81,7,81
baseline direct RCA,baseline_direct4,forward,7,1,8,84,100,0.84,8,84
baseline direct RCA,baseline_direct4,forward,7,2,9,89,100,0.89,9,89
baseline direct RCA,baseline_direct4,forward,7,3,10,83,100,0.83,10,83
baseline direct RCA,baseline_direct4,forward,7,4,11,88,100,0.88,11,88
baseline direct RCA,baseline_direct4,forward,7,5,12,79,100,0.79,12,79
baseline direct RCA,baseline_direct4,forward,7,6,13,88,100,0.88,13,88
baseline direct RCA,baseline_direct4,forward,7,7,14,90,100,0.9,14,90
baseline direct RCA,baseline_direct4,forward,7,8,15,88,100,0.88,15,88
baseline direct RCA,baseline_direct4,forward,7,9,16,88,100,0.88,16,88
baseline direct RCA,baseline_direct4,forward,7,10,17,87,100,0.87,17,87
baseline direct RCA,baseline_direct4,forward,7,11,18,83,100,0.83,18,83
baseline direct RCA,baseline_direct4,forward,7,12,19,89,100,0.89,19,89
baseline direct RCA,baseline_direct4,forward,7,13,20,68,100,0.68,20,68
baseline direct RCA,baseline_direct4,forward,7,14,21,87,100,0.87,21,87
baseline direct RCA,baseline_direct4,forward,7,15,22,86,100,0.86,22,86
baseline direct RCA,baseline_direct4,forward,8,0,8,92,100,0.92,8,92
baseline direct RCA,baseline_direct4,forward,8,1,9,89,100,0.89,9,89
baseline direct RCA,baseline_direct4,forward,8,2,10,94,100,0.94,10,94
baseline direct RCA,baseline_direct4,forward,8,3,11,91,100,0.91,11,91
baseline direct RCA,baseline_direct4,forward,8,4,12,88,100,0.88,12,88
baseline direct RCA,baseline_direct4,forward,8,5,13,90,100,0.9,13,90
baseline direct RCA,baseline_direct4,forward,8,6,14,88,100,0.88,14,88
baseline direct RCA,baseline_direct4,forward,8,7,15,74,100,0.74,15,74
baseline direct RCA,baseline_direct4,forward,8,8,16,92,100,0.92,16,92
baseline direct RCA,baseline_direct4,forward,8,9,17,88,100,0.88,17,88
baseline direct RCA,baseline_direct4,forward,8,10,18,95,100,0.95,18,95
baseline direct RCA,baseline_direct4,forward,8,11,19,80,100,0.8,19,80
baseline direct RCA,baseline_direct4,forward,8,12,20,91,100,0.91,20,91
baseline direct RCA,baseline_direct4,forward,8,13,21,92,100,0.92,21,92
baseline direct RCA,baseline_direct4,forward,8,14,22,87,100,0.87,22,87
baseline direct RCA,baseline_direct4,forward,8,15,23,72,100,0.72,23,72
baseline direct RCA,baseline_direct4,forward,9,0,9,91,100,0.91,9,91
baseline direct RCA,baseline_direct4,forward,9,1,10,83,100,0.83,10,83
baseline direct RCA,baseline_direct4,forward,9,2,11,86,100,0.86,11,86
baseline direct RCA,baseline_direct4,forward,9,3,12,79,100,0.79,12,79
baseline direct RCA,baseline_direct4,forward,9,4,13,86,100,0.86,13,86
baseline direct RCA,baseline_direct4,forward,9,5,14,85,100,0.85,14,85
baseline direct RCA,baseline_direct4,forward,9,6,15,82,100,0.82,15,82
baseline direct RCA,baseline_direct4,forward,9,7,16,41,100,0.41,16,41
baseline direct RCA,baseline_direct4,forward,9,8,17,95,100,0.95,17,95
baseline direct RCA,baseline_direct4,forward,9,9,18,86,100,0.86,18,86
baseline direct RCA,baseline_direct4,forward,9,10,19,93,100,0.93,19,93
baseline direct RCA,baseline_direct4,forward,9,11,20,77,100,0.77,20,77
baseline direct RCA,baseline_direct4,forward,9,12,21,85,100,0.85,21,85
baseline direct RCA,baseline_direct4,forward,9,13,22,76,100,0.76,22,76
baseline direct RCA,baseline_direct4,forward,9,14,23,82,100,0.82,23,82
baseline direct RCA,baseline_direct4,forward,9,15,24,64,100,0.64,24,64
baseline direct RCA,baseline_direct4,forward,10,0,10,88,100,0.88,10,88
baseline direct RCA,baseline_direct4,forward,10,1,11,95,100,0.95,11,95
baseline direct RCA,baseline_direct4,forward,10,2,12,85,100,0.85,12,85
baseline direct RCA,baseline_direct4,forward,10,3,13,85,100,0.85,13,85
baseline direct RCA,baseline_direct4,forward,10,4,14,88,100,0.88,14,88
baseline direct RCA,baseline_direct4,forward,10,5,15,94,100,0.94,15,94
baseline direct RCA,baseline_direct4,forward,10,6,16,92,100,0.92,16,92
baseline direct RCA,baseline_direct4,forward,10,7,17,88,100,0.88,17,88
baseline direct RCA,baseline_direct4,forward,10,8,18,80,100,0.8,18,80
baseline direct RCA,baseline_direct4,forward,10,9,19,73,100,0.73,19,73
baseline direct RCA,baseline_direct4,forward,10,10,20,88,100,0.88,20,88
baseline direct RCA,baseline_direct4,forward,10,11,21,84,100,0.84,21,84
baseline direct RCA,baseline_direct4,forward,10,12,22,92,100,0.92,22,92
baseline direct RCA,baseline_direct4,forward,10,13,23,88,100,0.88,23,88
baseline direct RCA,baseline_direct4,forward,10,14,24,93,100,0.93,24,93
baseline direct RCA,baseline_direct4,forward,10,15,25,97,100,0.97,25,97
baseline direct RCA,baseline_direct4,forward,11,0,11,90,100,0.9,11,90
baseline direct RCA,baseline_direct4,forward,11,1,12,88,100,0.88,12,88
baseline direct RCA,baseline_direct4,forward,11,2,13,89,100,0.89,13,89
baseline direct RCA,baseline_direct4,forward,11,3,14,88,100,0.88,14,88
baseline direct RCA,baseline_direct4,forward,11,4,15,80,100,0.8,15,80
baseline direct RCA,baseline_direct4,forward,11,5,16,76,100,0.76,16,76
baseline direct RCA,baseline_direct4,forward,11,6,17,83,100,0.83,17,83
baseline direct RCA,baseline_direct4,forward,11,7,18,91,100,0.91,18,91
baseline direct RCA,baseline_direct4,forward,11,8,19,78,100,0.78,19,78
baseline direct RCA,baseline_direct4,forward,11,9,20,88,100,0.88,20,88
baseline direct RCA,baseline_direct4,forward,11,10,21,91,100,0.91,21,91
baseline direct RCA,baseline_direct4,forward,11,11,22,89,100,0.89,22,89
baseline direct RCA,baseline_direct4,forward,11,12,23,91,100,0.91,23,91
baseline direct RCA,baseline_direct4,forward,11,13,24,85,100,0.85,24,85
baseline direct RCA,baseline_direct4,forward,11,14,25,90,100,0.9,25,90
baseline direct RCA,baseline_direct4,forward,11,15,26,86,100,0.86,26,86
baseline direct RCA,baseline_direct4,forward,12,0,12,82,100,0.82,12,82
baseline direct RCA,baseline_direct4,forward,12,1,13,93,100,0.93,13,93
baseline direct RCA,baseline_direct4,forward,12,2,14,78,100,0.78,14,78
baseline direct RCA,baseline_direct4,forward,12,3,15,90,100,0.9,15,90
baseline direct RCA,baseline_direct4,forward,12,4,16,89,100,0.89,16,89
baseline direct RCA,baseline_direct4,forward,12,5,17,85,100,0.85,17,85
baseline direct RCA,baseline_direct4,forward,12,6,18,83,100,0.83,18,83
baseline direct RCA,baseline_direct4,forward,12,7,19,89,100,0.89,19,89
baseline direct RCA,baseline_direct4,forward,12,8,20,89,100,0.89,20,89
baseline direct RCA,baseline_direct4,forward,12,9,21,90,100,0.9,21,90
baseline direct RCA,baseline_direct4,forward,12,10,22,89,100,0.89,22,89
baseline direct RCA,baseline_direct4,forward,12,11,23,88,100,0.88,23,88
baseline direct RCA,baseline_direct4,forward,12,12,24,93,100,0.93,24,93
baseline direct RCA,baseline_direct4,forward,12,13,25,91,100,0.91,25,91
baseline direct RCA,baseline_direct4,forward,12,14,26,92,100,0.92,26,92
baseline direct RCA,baseline_direct4,forward,12,15,27,89,100,0.89,27,89
baseline direct RCA,baseline_direct4,forward,13,0,13,90,100,0.9,13,90
baseline direct RCA,baseline_direct4,forward,13,1,14,86,100,0.86,14,86
baseline direct RCA,baseline_direct4,forward,13,2,15,88,100,0.88,15,88
baseline direct RCA,baseline_direct4,forward,13,3,16,61,100,0.61,16,61
baseline direct RCA,baseline_direct4,forward,13,4,17,90,100,0.9,17,90
baseline direct RCA,baseline_direct4,forward,13,5,18,87,100,0.87,18,87
baseline direct RCA,baseline_direct4,forward,13,6,19,88,100,0.88,19,88
baseline direct RCA,baseline_direct4,forward,13,7,20,83,100,0.83,20,83
baseline direct RCA,baseline_direct4,forward,13,8,21,86,100,0.86,21,86
baseline direct RCA,baseline_direct4,forward,13,9,22,87,100,0.87,22,87
baseline direct RCA,baseline_direct4,forward,13,10,23,71,100,0.71,23,71
baseline direct RCA,baseline_direct4,forward,13,11,24,87,100,0.87,24,87
baseline direct RCA,baseline_direct4,forward,13,12,25,89,100,0.89,25,89
baseline direct RCA,baseline_direct4,forward,13,13,26,89,100,0.89,26,89
baseline direct RCA,baseline_direct4,forward,13,14,27,84,100,0.84,27,84
baseline direct RCA,baseline_direct4,forward,13,15,28,91,100,0.91,28,91
baseline direct RCA,baseline_direct4,forward,14,0,14,87,100,0.87,14,87
baseline direct RCA,baseline_direct4,forward,14,1,15,88,100,0.88,15,88
baseline direct RCA,baseline_direct4,forward,14,2,16,86,100,0.86,16,86
baseline direct RCA,baseline_direct4,forward,14,3,17,78,100,0.78,17,78
baseline direct RCA,baseline_direct4,forward,14,4,18,89,100,0.89,18,89
baseline direct RCA,baseline_direct4,forward,14,5,19,84,100,0.84,19,84
baseline direct RCA,baseline_direct4,forward,14,6,20,92,100,0.92,20,92
baseline direct RCA,baseline_direct4,forward,14,7,21,88,100,0.88,21,88
baseline direct RCA,baseline_direct4,forward,14,8,22,88,100,0.88,22,88
baseline direct RCA,baseline_direct4,forward,14,9,23,74,100,0.74,23,74
baseline direct RCA,baseline_direct4,forward,14,10,24,59,100,0.59,24,59
baseline direct RCA,baseline_direct4,forward,14,11,25,90,100,0.9,25,90
baseline direct RCA,baseline_direct4,forward,14,12,26,86,100,0.86,26,86
baseline direct RCA,baseline_direct4,forward,14,13,27,86,100,0.86,27,86
baseline direct RCA,baseline_direct4,forward,14,14,28,90,100,0.9,28,90
baseline direct RCA,baseline_direct4,forward,14,15,29,88,100,0.88,29,88
baseline direct RCA,baseline_direct4,forward,15,0,15,78,100,0.78,15,78
baseline direct RCA,baseline_direct4,forward,15,1,16,61,100,0.61,16,61
baseline direct RCA,baseline_direct4,forward,15,2,17,85,100,0.85,17,85
baseline direct RCA,baseline_direct4,forward,15,3,18,86,100,0.86,18,86
baseline direct RCA,baseline_direct4,forward,15,4,19,90,100,0.9,19,90
baseline direct RCA,baseline_direct4,forward,15,5,20,92,100,0.92,20,92
baseline direct RCA,baseline_direct4,forward,15,6,21,81,100,0.81,21,81
baseline direct RCA,baseline_direct4,forward,15,7,22,88,100,0.88,22,88
baseline direct RCA,baseline_direct4,forward,15,8,23,75,100,0.75,23,75
baseline direct RCA,baseline_direct4,forward,15,9,24,90,100,0.9,24,90
baseline direct RCA,baseline_direct4,forward,15,10,25,92,100,0.92,25,92
baseline direct RCA,baseline_direct4,forward,15,11,26,75,100,0.75,26,75
baseline direct RCA,baseline_direct4,forward,15,12,27,88,100,0.88,27,88
baseline direct RCA,baseline_direct4,forward,15,13,28,97,100,0.97,28,97
baseline direct RCA,baseline_direct4,forward,15,14,29,82,100,0.82,29,82
baseline direct RCA,baseline_direct4,forward,15,15,30,99,100,0.99,30,99
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,0,0,97,100,0.97,0,97
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,1,1,89,100,0.89,1,89
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,2,2,86,100,0.86,2,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,3,3,95,100,0.95,3,95
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,4,4,88,100,0.88,4,88
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,5,5,86,100,0.86,5,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,6,6,84,100,0.84,6,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,7,7,84,100,0.84,7,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,8,8,89,100,0.89,8,89
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,9,9,87,100,0.87,9,87
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,10,10,84,100,0.84,10,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,11,11,89,100,0.89,11,89
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,12,12,93,100,0.93,12,93
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,13,13,84,100,0.84,13,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,14,14,85,100,0.85,14,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,0,15,15,82,100,0.82,15,82
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,0,1,88,100,0.88,1,88
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,1,2,89,100,0.89,2,89
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,2,3,91,100,0.91,3,91
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,3,4,82,100,0.82,4,82
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,4,5,84,100,0.84,5,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,5,6,91,100,0.91,6,91
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,6,7,87,100,0.87,7,87
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,7,8,80,100,0.8,8,80
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,8,9,85,100,0.85,9,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,9,10,88,100,0.88,10,88
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,10,11,87,100,0.87,11,87
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,11,12,78,100,0.78,12,78
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,12,13,83,100,0.83,13,83
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,13,14,88,100,0.88,14,88
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,14,15,81,100,0.81,15,81
idea 3+4 integer shadow RCA,idea34_integer4,forward,1,15,16,77,100,0.77,16,77
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,0,2,87,100,0.87,2,87
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,1,3,91,100,0.91,3,91
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,2,4,90,100,0.9,4,90
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,3,5,85,100,0.85,5,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,4,6,85,100,0.85,6,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,5,7,84,100,0.84,7,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,6,8,81,100,0.81,8,81
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,7,9,90,100,0.9,9,90
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,8,10,88,100,0.88,10,88
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,9,11,90,100,0.9,11,90
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,10,12,86,100,0.86,12,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,11,13,83,100,0.83,13,83
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,12,14,85,100,0.85,14,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,13,15,85,100,0.85,15,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,14,16,88,100,0.88,16,88
idea 3+4 integer shadow RCA,idea34_integer4,forward,2,15,17,90,100,0.9,17,90
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,0,3,89,100,0.89,3,89
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,1,4,83,100,0.83,4,83
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,2,5,83,100,0.83,5,83
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,3,6,90,100,0.9,6,90
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,4,7,86,100,0.86,7,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,5,8,86,100,0.86,8,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,6,9,81,100,0.81,9,81
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,7,10,87,100,0.87,10,87
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,8,11,86,100,0.86,11,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,9,12,83,100,0.83,12,83
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,10,13,87,100,0.87,13,87
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,11,14,90,100,0.9,14,90
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,12,15,84,100,0.84,15,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,13,16,79,100,0.79,16,79
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,14,17,84,100,0.84,17,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,3,15,18,87,100,0.87,18,87
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,0,4,88,100,0.88,4,88
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,1,5,90,100,0.9,5,90
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,2,6,89,100,0.89,6,89
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,3,7,80,100,0.8,7,80
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,4,8,94,100,0.94,8,94
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,5,9,86,100,0.86,9,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,6,10,84,100,0.84,10,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,7,11,80,100,0.8,11,80
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,8,12,91,100,0.91,12,91
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,9,13,88,100,0.88,13,88
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,10,14,84,100,0.84,14,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,11,15,86,100,0.86,15,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,12,16,85,100,0.85,16,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,13,17,82,100,0.82,17,82
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,14,18,85,100,0.85,18,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,4,15,19,86,100,0.86,19,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,0,5,85,100,0.85,5,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,1,6,86,100,0.86,6,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,2,7,87,100,0.87,7,87
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,3,8,86,100,0.86,8,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,4,9,82,100,0.82,9,82
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,5,10,80,100,0.8,10,80
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,6,11,84,100,0.84,11,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,7,12,81,100,0.81,12,81
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,8,13,82,100,0.82,13,82
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,9,14,85,100,0.85,14,85
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,10,15,84,100,0.84,15,84
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,11,16,81,100,0.81,16,81
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,12,17,86,100,0.86,17,86
idea 3+4 integer shadow RCA,idea34_integer4,forward,5,13,18,82,100,0.82,18,82
