gate,scenario,label,samples,valid_rate,y_one_rate,state_counts,state_probabilities,ab_probabilities
XOR,0,forward A=0 B=0,30000,0.873,0.127,0000:26201 0010:3799,0000:0.873 0010:0.127,00:1.000 01:0.000 10:0.000 11:0.000
XOR,1,forward A=0 B=1,30000,0.803,0.803,0110:24078 0100:2991 0101:2931,0110:0.803 0100:0.100 0101:0.098,00:0.000 01:1.000 10:0.000 11:0.000
XOR,2,forward A=1 B=0,30000,0.803,0.803,1010:24078 1000:2991 1001:2931,1010:0.803 1000:0.100 1001:0.098,00:0.000 01:0.000 10:1.000 11:0.000
XOR,3,forward A=1 B=1,30000,0.775,0.224,1101:23264 1110:3393 1111:3336 1100:7,1101:0.775 1110:0.113 1111:0.111 1100:0.000,00:0.000 01:0.000 10:0.000 11:1.000
XOR,4,reverse Y=0,30000,0.784,0.000,0000:11768 1101:11757 1001:1677 0100:1636 0101:1580 1000:1570 0001:7 1100:5,0000:0.392 1101:0.392 1001:0.056 0100:0.055 0101:0.053 1000:0.052 0001:0.000 1100:0.000,00:0.393 01:0.107 10:0.108 11:0.392
XOR,5,reverse Y=1,30000,0.833,1.000,0110:12496 1010:12483 1110:1733 1111:1697 0010:1589 0111:1 1011:1,0110:0.417 1010:0.416 1110:0.058 1111:0.057 0010:0.053 0111:0.000 1011:0.000,00:0.053 01:0.417 10:0.416 11:0.114
